field,venue_db_id,jif,unscaled_rank,scaled_rank,normed_rank,prob_upset_top,n_selected,frac_selected,ordinal_porc,ordinal_jif,subset_ordinal_porc,subset_ordinal_jif
Philosophy,1695812,0.1,-0.1646523383564595,-0.5279222052213588,0.24731021645404447,3.0280119275732925e-05,1,0.008695652173913,338.0,305.5,338.0,
Philosophy,1706049,,-0.04027767552645863,-0.12914167814054736,0.3422005523144692,0.0001094831647811,1,0.008695652173913,226.0,,226.0,
Philosophy,1671228,0.6,-0.00012083938613725628,-0.00038744542497214356,0.3728377864724861,0.0001330695164478,1,0.008695652173913,179.0,256.5,179.0,
Philosophy,1679413,0.2,0.07683466775688227,0.24635378789366824,0.43155017815222474,0.0003395789760217,1,0.008695652173913,103.0,298.0,103.0,
Philosophy,1665075,1.2,-0.0032997028943338867,-0.010579785540493087,0.3704125061212982,0.0001494403287789,1,0.008695652173913,184.0,173.0,184.0,
Philosophy,1661065,0.3,-0.06403414560531183,-0.20531167485903845,0.3240758042882438,8.20696610427097e-05,1,0.008695652173913,259.0,287.0,259.0,
Philosophy,1685657,0.5,-0.05916712107196375,-0.18970661057535362,0.32778904926999364,8.465866671797358e-05,1,0.008695652173913,256.0,269.5,256.0,
Philosophy,1648813,0.7,-0.04141781421584597,-0.13279728690485457,0.34133069553896744,0.0001029840130039,1,0.008695652173913,229.0,240.5,229.0,
Philosophy,1669355,2.8,0.028381319116035215,0.09099857751422337,0.39458320737637964,0.0002052800546418,1,0.008695652173913,148.0,74.5,148.0,
Philosophy,1663250,,-0.11593044273639275,-0.37170595688223257,0.28448207231237055,4.775034804586896e-05,1,0.008695652173913,311.0,,311.0,
Philosophy,1657102,1.8,-0.07897717510078982,-0.25322327552432633,0.3126751777029381,6.994619238562731e-05,1,0.008695652173913,274.0,120.0,274.0,
Philosophy,1648909,2.3,0.06395119294841584,0.20504570505870257,0.4217208670706287,0.0002641575025538,1,0.008695652173913,113.0,89.5,113.0,
Philosophy,1650953,5.7,0.2154087998503587,0.6906618501517706,0.5372738491694462,0.0014991116036808,1,0.008695652173913,32.0,38.0,32.0,
Philosophy,1652993,,0.013546306048707714,0.04343330822520717,0.3832649907844956,0.0001790350863543,1,0.008695652173913,169.0,,169.0,
Philosophy,1648890,17.3,0.03284188683003882,0.10530042568486976,0.39798635041917524,0.0002547394054813,1,0.008695652173913,138.0,14.0,138.0,
